order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at
110,58,774,414,3,cash,2017-03-01 10:01:23
3910,9,852,472,4,debit,2017-03-01 10:16:17
1939,82,932,177,1,credit_card,2017-03-01 10:18:27
352,34,956,244,2,debit,2017-03-01 10:21:45
2369,55,815,513,3,credit_card,2017-03-01 10:34:45
67,66,743,322,2,cash,2017-03-01 10:40:40
2185,89,720,196,1,cash,2017-03-01 10:44:54
3959,89,932,196,1,debit,2017-03-01 10:48:56
4949,12,845,402,2,cash,2017-03-01 10:59:55
719,60,727,177,1,credit_card,2017-03-01 11:08:20
4946,35,765,164,1,credit_card,2017-03-01 11:17:04
2886,33,927,173,1,cash,2017-03-01 11:17:11
2528,58,723,414,3,cash,2017-03-01 11:18:00
4939,77,847,312,2,credit_card,2017-03-01 11:32:33
1611,25,941,260,2,cash,2017-03-01 11:37:42
4640,45,811,284,2,credit_card,2017-03-01 11:55:34
4304,45,727,284,2,cash,2017-03-01 11:55:44
3914,81,746,354,2,debit,2017-03-01 12:04:45
3634,90,999,534,3,debit,2017-03-01 12:04:51
1904,82,741,354,2,credit_card,2017-03-01 12:11:51
4422,42,736,704,2,credit_card,2017-03-01 12:19:49
873,77,822,156,1,credit_card,2017-03-01 12:25:25
242,34,953,244,2,debit,2017-03-01 12:27:25
1977,8,857,132,1,debit,2017-03-01 12:33:37
1849,37,822,284,2,credit_card,2017-03-01 12:39:10
2019,42,739,352,1,debit,2017-03-01 12:42:26
2742,58,984,276,2,credit_card,2017-03-01 12:47:11
3378,39,890,134,1,debit,2017-03-01 13:09:08
4778,34,777,244,2,credit_card,2017-03-01 13:13:16
3412,67,982,131,1,cash,2017-03-01 13:15:22
3843,85,996,172,1,debit,2017-03-01 13:27:24
542,61,716,158,1,debit,2017-03-01 13:28:39
3427,36,999,260,2,debit,2017-03-01 13:29:06
1369,97,943,486,3,credit_card,2017-03-01 13:31:53
1049,91,889,320,2,debit,2017-03-01 13:42:24
3199,73,711,165,1,cash,2017-03-01 13:45:23
4000,98,857,266,2,debit,2017-03-01 14:06:26
4150,35,962,164,1,debit,2017-03-01 14:08:02
3621,67,862,262,2,debit,2017-03-01 14:24:13
1341,32,808,202,2,credit_card,2017-03-01 14:33:34
4438,19,893,163,1,debit,2017-03-01 14:38:39
2509,2,902,94,1,cash,2017-03-01 14:48:47
1164,71,829,164,1,cash,2017-03-01 14:49:33
4645,25,942,130,1,credit_card,2017-03-01 14:50:08
2009,26,961,176,1,cash,2017-03-01 15:21:21
4449,90,856,178,1,cash,2017-03-01 15:28:04
2927,55,805,342,2,credit_card,2017-03-01 15:44:35
2735,70,950,519,3,credit_card,2017-03-01 16:05:59
543,15,984,612,4,cash,2017-03-01 16:09:45
3005,25,850,130,1,debit,2017-03-01 16:25:27
2133,17,891,352,2,debit,2017-03-01 16:48:06
1294,29,993,326,2,credit_card,2017-03-01 16:56:21
669,16,975,156,1,debit,2017-03-01 17:00:07
4882,25,884,130,1,debit,2017-03-01 17:02:52
609,69,884,393,3,credit_card,2017-03-01 17:19:35
3874,71,784,328,2,debit,2017-03-01 17:20:24
2280,5,807,284,2,cash,2017-03-01 17:51:30
4343,55,784,513,3,credit_card,2017-03-01 18:26:23
966,45,861,142,1,cash,2017-03-01 18:31:31
3629,53,873,224,2,debit,2017-03-01 18:32:40
2492,42,868,704,2,debit,2017-03-01 18:33:33
2935,46,874,166,1,cash,2017-03-01 18:34:14
1586,33,863,173,1,cash,2017-03-01 18:34:15
4802,27,702,338,2,debit,2017-03-01 18:39:15
1875,3,890,296,2,credit_card,2017-03-01 18:47:46
4707,19,708,652,4,debit,2017-03-01 18:49:19
4832,49,937,258,2,credit_card,2017-03-01 18:56:20
2237,93,741,114,1,credit_card,2017-03-01 18:59:40
2077,35,906,328,2,cash,2017-03-01 19:02:52
64,91,962,160,1,debit,2017-03-01 19:05:37
3020,54,778,665,5,debit,2017-03-01 19:13:17
1820,50,910,579,3,cash,2017-03-01 19:31:39
2993,67,968,131,1,credit_card,2017-03-01 19:33:02
3591,85,791,516,3,debit,2017-03-01 19:38:20
2502,23,726,468,3,debit,2017-03-01 19:47:38
3930,91,815,160,1,credit_card,2017-03-01 19:48:24
977,25,730,130,1,cash,2017-03-01 20:05:48
4815,66,713,161,1,debit,2017-03-01 20:06:35
4082,45,978,142,1,cash,2017-03-01 20:48:51
393,63,936,272,2,credit_card,2017-03-01 20:51:04
3033,57,979,147,1,credit_card,2017-03-01 20:51:49
1203,18,914,312,2,credit_card,2017-03-01 21:04:13
2281,39,846,268,2,cash,2017-03-01 21:16:43
3219,72,840,320,2,cash,2017-03-01 21:17:19
1284,32,909,202,2,debit,2017-03-01 21:33:37
7,87,915,149,1,cash,2017-03-01 21:37:57
2150,19,825,163,1,cash,2017-03-01 21:38:05
1619,85,952,344,2,debit,2017-03-01 21:46:55
1182,45,838,142,1,cash,2017-03-01 21:51:55
3824,10,988,148,1,credit_card,2017-03-01 21:54:45
1403,9,790,118,1,debit,2017-03-01 21:55:01
3198,39,987,134,1,debit,2017-03-01 22:10:15
1609,18,864,156,1,credit_card,2017-03-01 22:15:20
4465,14,887,232,2,credit_card,2017-03-01 22:24:17
3841,71,935,492,3,debit,2017-03-01 22:46:05
2512,6,871,561,3,credit_card,2017-03-01 22:59:37
1759,29,738,326,2,cash,2017-03-01 23:04:07
4504,94,975,402,3,credit_card,2017-03-01 23:06:46
489,9,790,118,1,debit,2017-03-01 23:27:41
4332,95,713,336,2,credit_card,2017-03-01 23:37:45
404,43,951,543,3,credit_card,2017-03-01 23:52:31
2063,82,771,177,1,credit_card,2017-03-02 0:04:37
65,72,887,480,3,credit_card,2017-03-02 0:15:05
1847,36,896,130,1,debit,2017-03-02 0:19:09
3761,91,722,160,1,credit_card,2017-03-02 1:07:23
681,20,897,254,2,credit_card,2017-03-02 1:10:10
1752,84,869,306,2,debit,2017-03-02 1:10:23
1187,95,927,336,2,cash,2017-03-02 1:32:38
3403,9,865,590,5,cash,2017-03-02 1:40:45
4974,92,970,360,4,cash,2017-03-02 2:10:55
779,54,932,399,3,credit_card,2017-03-02 2:15:39
1642,64,794,399,3,cash,2017-03-02 2:32:19
4627,91,759,160,1,debit,2017-03-02 2:39:33
1794,86,949,260,2,debit,2017-03-02 2:39:46
1128,80,717,290,2,debit,2017-03-02 2:47:59
1118,58,961,276,2,credit_card,2017-03-02 2:55:47
712,77,908,156,1,debit,2017-03-02 3:08:19
1351,59,843,178,1,cash,2017-03-02 3:12:31
188,41,980,118,1,cash,2017-03-02 3:13:14
2746,24,810,140,1,credit_card,2017-03-02 3:22:52
2644,76,881,310,2,credit_card,2017-03-02 3:22:53
1391,15,935,153,1,credit_card,2017-03-02 3:23:44
1493,48,894,117,1,credit_card,2017-03-02 3:24:33
3567,30,761,306,2,cash,2017-03-02 3:25:27
3340,28,810,328,2,debit,2017-03-02 3:30:11
621,38,803,380,2,debit,2017-03-02 3:35:47
365,100,784,111,1,debit,2017-03-02 3:36:38
2398,69,823,524,4,debit,2017-03-02 3:47:32
521,42,607,704000,2000,credit_card,2017-03-02 4:00:00
4647,42,607,704000,2000,credit_card,2017-03-02 4:00:00
1982,46,997,166,1,credit_card,2017-03-02 4:00:37
2024,24,765,140,1,cash,2017-03-02 4:06:21
2384,32,885,101,1,debit,2017-03-02 4:10:03
4413,78,756,51450,2,debit,2017-03-02 4:13:39
2092,89,940,392,2,cash,2017-03-02 4:17:44
1880,10,706,444,3,debit,2017-03-02 4:20:55
3034,64,756,399,3,credit_card,2017-03-02 4:28:12
181,12,871,201,1,cash,2017-03-02 4:37:41
2144,40,869,161,1,cash,2017-03-02 4:38:38
4570,73,798,495,3,credit_card,2017-03-02 4:58:30
4913,93,957,228,2,cash,2017-03-02 5:03:10
879,88,787,704,4,credit_card,2017-03-02 5:05:25
1167,86,786,260,2,debit,2017-03-02 5:24:44
4581,51,799,748,4,cash,2017-03-02 5:45:50
2708,3,847,148,1,debit,2017-03-02 6:00:39
2982,4,967,128,1,cash,2017-03-02 6:01:11
1659,20,762,127,1,credit_card,2017-03-02 6:06:14
4868,97,796,162,1,credit_card,2017-03-02 6:11:25
3136,60,770,354,2,credit_card,2017-03-02 6:11:49
3164,20,842,508,4,credit_card,2017-03-02 6:19:40
3374,8,703,396,3,debit,2017-03-02 6:27:38
1842,61,785,158,1,debit,2017-03-02 6:33:49
91,50,744,193,1,debit,2017-03-02 6:36:55
3789,71,913,492,3,cash,2017-03-02 6:37:49
2349,87,801,298,2,cash,2017-03-02 6:44:29
2022,63,738,272,2,cash,2017-03-02 6:47:03
4872,63,729,136,1,cash,2017-03-02 6:49:19
2659,21,974,710,5,debit,2017-03-02 7:19:48
1387,38,981,190,1,credit_card,2017-03-02 7:24:15
446,52,732,292,2,debit,2017-03-02 7:24:23
3778,73,855,165,1,credit_card,2017-03-02 7:49:38
1317,80,968,145,1,debit,2017-03-02 7:51:55
4826,20,883,254,2,debit,2017-03-02 8:04:57
3143,24,716,280,2,debit,2017-03-02 8:10:06
45,99,759,195,1,credit_card,2017-03-02 8:13:24
1669,69,714,262,2,debit,2017-03-02 8:16:06
1876,64,736,399,3,cash,2017-03-02 8:17:11
2571,6,864,187,1,cash,2017-03-02 8:25:44
3233,67,882,131,1,debit,2017-03-02 8:29:24
4072,46,789,166,1,cash,2017-03-02 8:34:42
3383,69,970,655,5,cash,2017-03-02 8:42:20
1204,54,792,133,1,debit,2017-03-02 8:48:46
3067,41,873,118,1,cash,2017-03-02 8:53:53
1511,41,930,354,3,credit_card,2017-03-02 9:10:36
1433,81,879,354,2,cash,2017-03-02 9:22:21
2299,98,983,133,1,debit,2017-03-02 9:23:45
2095,53,970,336,3,debit,2017-03-02 9:23:48
4613,29,839,489,3,debit,2017-03-02 9:28:03
941,34,844,244,2,credit_card,2017-03-02 9:28:44
4988,11,826,184,1,credit_card,2017-03-02 9:35:25
1373,83,884,129,1,debit,2017-03-02 9:41:00
451,81,949,531,3,debit,2017-03-02 9:41:13
1028,21,836,142,1,credit_card,2017-03-02 9:51:57
562,45,927,142,1,credit_card,2017-03-02 10:02:00
4261,52,827,146,1,cash,2017-03-02 10:03:38
1266,30,971,153,1,credit_card,2017-03-02 10:05:23
750,24,782,420,3,credit_card,2017-03-02 10:43:39
2229,12,813,201,1,debit,2017-03-02 10:52:05
1887,58,793,138,1,credit_card,2017-03-02 10:52:58
3630,82,840,354,2,credit_card,2017-03-02 10:54:07
572,28,762,328,2,debit,2017-03-02 10:57:34
1942,29,838,489,3,debit,2017-03-02 10:57:42
2667,6,731,374,2,debit,2017-03-02 11:01:32
2879,95,896,336,2,debit,2017-03-02 11:11:33
3765,29,733,489,3,credit_card,2017-03-02 11:18:15
3799,40,872,322,2,credit_card,2017-03-02 11:29:50
1091,40,896,322,2,credit_card,2017-03-02 11:35:46
914,18,822,312,2,cash,2017-03-02 11:36:51
4807,77,809,312,2,cash,2017-03-02 11:37:39
2434,74,749,306,2,cash,2017-03-02 11:59:52
377,40,986,322,2,credit_card,2017-03-02 12:05:17
4935,66,720,161,1,debit,2017-03-02 12:20:51
837,45,761,142,1,cash,2017-03-02 12:37:25
690,30,979,306,2,cash,2017-03-02 12:43:39
2345,28,715,164,1,cash,2017-03-02 12:52:39
961,62,773,160,1,credit_card,2017-03-02 13:05:58
1936,40,886,161,1,cash,2017-03-02 13:08:15
2577,14,721,464,4,credit_card,2017-03-02 13:15:36
4951,5,994,426,3,cash,2017-03-02 13:24:11
4479,99,862,390,2,cash,2017-03-02 13:33:10
1762,41,737,118,1,cash,2017-03-02 13:36:40
3481,47,794,435,3,credit_card,2017-03-02 13:39:27
3352,90,875,534,3,credit_card,2017-03-02 13:46:49
3154,36,980,260,2,debit,2017-03-02 14:04:24
4957,45,894,284,2,debit,2017-03-02 14:07:32
3344,41,925,354,3,cash,2017-03-02 14:23:46
3812,41,948,236,2,debit,2017-03-02 14:25:44
4041,78,852,25725,1,cash,2017-03-02 14:31:12
1755,64,755,266,2,cash,2017-03-02 15:01:14
4990,11,843,552,3,credit_card,2017-03-02 15:06:29
4736,20,746,508,4,credit_card,2017-03-02 15:17:32
334,68,968,272,2,debit,2017-03-02 15:39:13
2365,14,840,116,1,cash,2017-03-02 15:51:09
4357,5,769,142,1,credit_card,2017-03-02 16:00:51
4268,96,937,459,3,credit_card,2017-03-02 16:16:30
4221,100,980,222,2,debit,2017-03-02 16:42:56
957,70,803,346,2,debit,2017-03-02 16:45:13
3616,30,737,612,4,cash,2017-03-02 16:46:44
673,19,863,489,3,cash,2017-03-02 16:50:55
2550,51,721,187,1,debit,2017-03-02 17:05:56
2673,17,847,176,1,debit,2017-03-02 17:09:05
4628,65,912,308,2,credit_card,2017-03-02 17:12:29
2822,78,814,51450,2,cash,2017-03-02 17:13:25
3579,2,876,188,2,debit,2017-03-02 17:16:08
50,64,768,399,3,debit,2017-03-02 17:26:07
307,34,924,122,1,debit,2017-03-02 17:32:04
1213,10,836,444,3,credit_card,2017-03-02 17:32:30
4230,52,940,292,2,cash,2017-03-02 17:41:05
2306,93,744,228,2,credit_card,2017-03-02 17:50:53
4840,28,992,328,2,debit,2017-03-02 18:12:19
3330,29,944,326,2,debit,2017-03-02 18:19:22
3670,5,968,284,2,cash,2017-03-02 18:28:54
1371,97,919,162,1,credit_card,2017-03-02 18:31:26
1754,15,884,306,2,cash,2017-03-02 18:41:17
3748,93,982,114,1,cash,2017-03-02 18:45:20
4363,36,963,390,3,credit_card,2017-03-02 18:50:25
2120,99,756,390,2,cash,2017-03-02 19:03:03
698,98,761,266,2,credit_card,2017-03-02 19:17:20
4658,1,886,316,2,debit,2017-03-02 19:20:24
4718,87,784,149,1,debit,2017-03-02 19:30:42
1397,65,853,308,2,cash,2017-03-02 19:32:41
4550,16,797,156,1,credit_card,2017-03-02 20:00:25
1093,81,744,354,2,debit,2017-03-02 20:11:11
2620,26,873,352,2,debit,2017-03-02 20:40:27
4702,98,712,266,2,cash,2017-03-02 20:52:48
4073,34,913,122,1,credit_card,2017-03-02 21:02:04
1376,71,924,328,2,credit_card,2017-03-02 21:04:42
225,29,927,163,1,debit,2017-03-02 21:18:16
738,50,873,772,4,debit,2017-03-02 21:26:04
759,74,755,153,1,debit,2017-03-02 21:31:59
1933,75,910,128,1,cash,2017-03-02 21:37:59
1852,19,894,163,1,cash,2017-03-02 21:47:12
531,56,804,117,1,cash,2017-03-02 21:50:14
2108,95,937,168,1,cash,2017-03-02 21:54:44
3355,88,760,176,1,credit_card,2017-03-02 21:57:50
1089,14,903,232,2,cash,2017-03-02 21:58:46
1016,23,871,312,2,cash,2017-03-02 22:00:10
3709,70,757,519,3,debit,2017-03-02 22:13:12
1006,61,894,158,1,debit,2017-03-02 22:21:02
2425,46,724,498,3,cash,2017-03-02 22:24:01
3637,24,883,280,2,cash,2017-03-02 22:24:51
1979,22,973,292,2,credit_card,2017-03-02 22:36:35
180,37,897,142,1,debit,2017-03-02 22:40:59
1945,9,782,236,2,debit,2017-03-02 22:56:53
4338,21,962,142,1,debit,2017-03-02 23:07:07
2342,19,727,326,2,debit,2017-03-02 23:14:16
4831,57,831,441,3,credit_card,2017-03-02 23:22:39
1749,73,781,495,3,debit,2017-03-02 23:29:46
4452,24,726,280,2,credit_card,2017-03-02 23:30:18
3611,30,857,306,2,cash,2017-03-02 23:38:06
3482,62,988,160,1,cash,2017-03-02 23:46:31
4871,61,958,790,5,credit_card,2017-03-02 23:46:58
173,55,778,342,2,cash,2017-03-02 23:54:12
3739,6,805,374,2,cash,2017-03-03 0:06:15
1848,14,897,348,3,debit,2017-03-03 0:10:57
4202,3,906,296,2,cash,2017-03-03 0:25:14
565,45,725,710,5,debit,2017-03-03 0:35:20
3776,12,960,603,3,cash,2017-03-03 0:38:42
388,35,891,164,1,debit,2017-03-03 0:43:34
4654,4,813,128,1,cash,2017-03-03 0:44:45
380,57,920,147,1,credit_card,2017-03-03 0:44:47
3108,36,914,260,2,credit_card,2017-03-03 1:01:14
264,97,827,324,2,debit,2017-03-03 1:06:02
925,89,953,588,3,credit_card,2017-03-03 1:11:19
1616,23,963,156,1,cash,2017-03-03 1:19:38
3653,29,771,326,2,cash,2017-03-03 1:23:25
3050,59,849,178,1,debit,2017-03-03 1:26:52
3836,68,879,544,4,debit,2017-03-03 1:53:28
4173,68,787,408,3,cash,2017-03-03 1:54:05
2399,36,912,260,2,debit,2017-03-03 2:19:07
4732,20,817,254,2,debit,2017-03-03 2:27:18
133,53,963,224,2,credit_card,2017-03-03 2:32:51
2666,43,982,181,1,debit,2017-03-03 2:33:50
2121,62,772,480,3,credit_card,2017-03-03 2:34:17
4659,29,892,326,2,debit,2017-03-03 2:36:22
4459,89,780,196,1,cash,2017-03-03 2:43:02
3932,100,768,333,3,cash,2017-03-03 2:45:20
2914,32,709,202,2,credit_card,2017-03-03 2:53:03
3730,94,910,402,3,credit_card,2017-03-03 2:54:12
4179,94,887,134,1,debit,2017-03-03 3:05:34
1765,12,789,804,4,debit,2017-03-03 3:10:50
3298,2,794,94,1,debit,2017-03-03 3:19:29
3927,44,951,432,3,debit,2017-03-03 3:21:20
4074,89,781,196,1,credit_card,2017-03-03 3:28:57
3455,60,880,354,2,cash,2017-03-03 3:35:58
1191,1,734,316,2,debit,2017-03-03 3:40:15
1263,5,791,142,1,credit_card,2017-03-03 4:12:51
221,21,994,142,1,cash,2017-03-03 4:18:29
3156,80,707,290,2,debit,2017-03-03 4:36:54
3962,90,712,356,2,cash,2017-03-03 4:42:38
244,93,861,114,1,credit_card,2017-03-03 5:19:17
1142,19,874,163,1,cash,2017-03-03 5:27:23
1934,32,875,404,4,debit,2017-03-03 5:27:38
34,7,800,224,2,credit_card,2017-03-03 5:31:15
3187,80,821,290,2,cash,2017-03-03 5:41:36
232,27,730,338,2,cash,2017-03-03 5:49:46
1075,55,723,342,2,credit_card,2017-03-03 5:55:34
1446,3,871,148,1,debit,2017-03-03 6:00:32
3534,8,833,396,3,debit,2017-03-03 6:05:24
2951,98,785,133,1,cash,2017-03-03 6:23:26
1552,64,763,399,3,cash,2017-03-03 6:42:38
1013,23,866,156,1,debit,2017-03-03 6:52:06
2426,39,898,134,1,credit_card,2017-03-03 6:57:45
348,1,907,158,1,credit_card,2017-03-03 6:59:35
3995,35,777,328,2,debit,2017-03-03 7:20:08
616,7,710,112,1,cash,2017-03-03 7:33:01
275,5,967,426,3,cash,2017-03-03 7:38:56
3506,37,897,284,2,cash,2017-03-03 7:44:56
1064,44,734,144,1,credit_card,2017-03-03 7:48:26
1872,58,705,138,1,debit,2017-03-03 7:49:12
4271,96,856,306,2,credit_card,2017-03-03 8:25:50
1607,10,833,296,2,cash,2017-03-03 8:49:14
3097,56,955,117,1,credit_card,2017-03-03 8:52:22
274,34,803,122,1,cash,2017-03-03 9:05:17
1785,61,931,158,1,debit,2017-03-03 9:06:21
786,53,841,224,2,cash,2017-03-03 9:08:33
2988,42,819,1056,3,cash,2017-03-03 9:09:25
1454,6,967,561,3,credit_card,2017-03-03 9:20:16
2917,24,952,280,2,cash,2017-03-03 9:21:13
2210,77,812,312,2,credit_card,2017-03-03 9:22:25
2579,61,994,316,2,cash,2017-03-03 9:56:51
3785,25,858,260,2,debit,2017-03-03 9:59:00
2192,81,850,531,3,debit,2017-03-03 10:17:58
4786,63,757,136,1,credit_card,2017-03-03 10:35:18
2448,56,735,117,1,debit,2017-03-03 10:36:10
2270,98,827,133,1,credit_card,2017-03-03 10:38:00
2125,71,825,328,2,cash,2017-03-03 10:38:40
4115,94,817,670,5,credit_card,2017-03-03 11:00:48
4016,98,954,532,4,cash,2017-03-03 11:11:37
4611,87,803,447,3,credit_card,2017-03-03 11:24:59
3186,3,925,148,1,credit_card,2017-03-03 11:25:18
4837,94,753,402,3,cash,2017-03-03 11:25:50
1791,16,941,312,2,debit,2017-03-03 11:27:02
3505,76,728,310,2,credit_card,2017-03-03 11:38:28
4564,20,995,254,2,credit_card,2017-03-03 11:48:24
4954,13,956,320,2,cash,2017-03-03 11:56:44
533,73,996,495,3,debit,2017-03-03 12:03:08
4446,76,947,155,1,cash,2017-03-03 12:10:24
4145,89,874,588,3,debit,2017-03-03 12:15:45
3306,45,711,142,1,credit_card,2017-03-03 12:20:53
4522,87,716,298,2,cash,2017-03-03 12:25:05
1360,67,872,131,1,cash,2017-03-03 12:26:56
3947,39,997,402,3,cash,2017-03-03 12:38:12
4036,73,740,330,2,debit,2017-03-03 12:39:34
2101,28,905,492,3,debit,2017-03-03 12:44:29
4128,66,988,161,1,cash,2017-03-03 12:50:03
1695,65,749,308,2,cash,2017-03-03 12:50:19
345,84,726,459,3,credit_card,2017-03-03 12:54:13
2155,14,875,116,1,cash,2017-03-03 12:58:42
25,73,917,495,3,cash,2017-03-03 13:01:03
3245,74,823,153,1,credit_card,2017-03-03 13:31:44
80,20,838,254,2,credit_card,2017-03-03 14:00:25
2261,15,989,153,1,credit_card,2017-03-03 14:38:17
3517,15,835,306,2,debit,2017-03-03 14:51:44
2801,87,863,149,1,credit_card,2017-03-03 14:57:22
2815,15,795,306,2,cash,2017-03-03 15:10:24
4492,76,811,310,2,credit_card,2017-03-03 15:29:59
2100,81,899,531,3,cash,2017-03-03 15:49:29
68,21,812,284,2,debit,2017-03-03 15:52:53
930,83,732,387,3,credit_card,2017-03-03 16:00:59
1531,34,792,244,2,cash,2017-03-03 16:02:02
2646,41,724,354,3,cash,2017-03-03 16:11:32
807,31,793,387,3,credit_card,2017-03-03 16:13:07
182,20,823,127,1,cash,2017-03-03 16:29:13
418,64,723,266,2,cash,2017-03-03 16:44:40
4176,47,953,145,1,credit_card,2017-03-03 16:51:17
3014,55,708,171,1,debit,2017-03-03 17:04:06
1857,49,813,258,2,debit,2017-03-03 17:11:44
4940,36,719,130,1,credit_card,2017-03-03 17:18:54
4149,14,928,116,1,debit,2017-03-03 17:23:40
2129,92,729,180,2,credit_card,2017-03-03 17:26:32
3243,18,991,156,1,cash,2017-03-03 17:30:20
2808,60,724,354,2,debit,2017-03-03 17:33:42
2,92,925,90,1,cash,2017-03-03 17:38:52
238,99,835,585,3,debit,2017-03-03 17:45:35
1579,70,847,173,1,credit_card,2017-03-03 17:52:46
2975,9,883,236,2,cash,2017-03-03 17:54:11
3879,13,819,160,1,debit,2017-03-03 17:56:55
975,20,724,381,3,debit,2017-03-03 18:10:02
2018,31,933,258,2,credit_card,2017-03-03 18:11:56
1966,6,811,561,3,credit_card,2017-03-03 18:30:07
3571,44,731,288,2,credit_card,2017-03-03 18:35:46
4690,89,775,196,1,debit,2017-03-03 18:53:32
3312,46,886,498,3,debit,2017-03-03 19:10:12
4487,41,901,118,1,credit_card,2017-03-03 19:43:46
2246,68,918,272,2,debit,2017-03-03 19:59:02
220,23,884,780,5,credit_card,2017-03-03 20:11:05
1273,99,977,195,1,credit_card,2017-03-03 20:19:16
4843,70,761,519,3,debit,2017-03-03 20:24:22
948,81,870,354,2,cash,2017-03-03 20:28:49
1485,96,702,765,5,credit_card,2017-03-03 20:53:28
687,64,754,266,2,cash,2017-03-03 20:57:27
379,35,848,328,2,debit,2017-03-03 20:59:29
4526,85,794,172,1,credit_card,2017-03-03 21:14:32
3900,39,721,268,2,credit_card,2017-03-03 21:14:52
